Go back to description page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAZONE,INTERMEDIATE GEOGRAPHY CODE,INTERMEDIATE GEOGRAPHY NAME,MULTI-MEMBER WARD CODE,MULTI-MEMBER WARD NAME,SCOTTISH PARLIAMENTARY CONSTITUENCY CODE,SCOTTISH PARLIAMENTARY CONSTITUENCY NAME,LOCAL AUTHORITY CODE,LOCAL AUTHORITY NAME,COMMUNITY HEALTH PARTNERSHIP CODE,COMMUNITY HEALTH PARTNERSHIP NAME,HEALTH BOARD CODE,HEALTH BOARD NAME,SIX-FOLD URBAN RURAL CLASSIFICATION 2008 CODE,SIX-FOLD URBAN RURAL CLASSIFICATION 2008,"OVERALL 
SIMD
RANK 2009 V2","VIGINTILE
(SIMD 2009 V2)","DATAZONE IN THE 15% MOST DEPRIVED?
(SIMD 2009 V2)","INCOME 
DOMAIN 
RANK 2009 V2","EMPLOYMENT 
DOMAIN
RANK 2009","HEALTH
DOMAIN
RANK 2009","EDUCATION
DOMAIN
RANK 2009","HOUSING
DOMAIN
RANK 2009","GEOGRAPHIC ACCESS
DOMAIN
RANK 2009","CRIME
DOMAIN
RANK 2009",TOTAL POPULATION (SAPE 2007),"WORKING AGE POPULATION (MEN 16-64, WOMEN 16-59)
(SAPE 2007)","NUMBER OF INCOME DEPRIVED PEOPLE
(SIMD 2009 V2)","PERCENTAGE OF INCOME DEPRIVED PEOPLE
(SIMD 2009 V2)","NUMBER OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2009)","PERCENTAGE OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2009)","OVERALL 
SIMD
RANK 2006","VIGINTILE
(SIMD 2006)",DATAZONE IN THE 15% MOST DEPRIVED? (SIMD 2006),"CURRENT INCOME 
DOMAIN 
RANK 2006","EMPLOYMENT 
DOMAIN
RANK 2006","HEALTH
DOMAIN
RANK 2006","EDUCATION, SKILLS AND TRAINING
DOMAIN
RANK 2006","HOUSING
DOMAIN
RANK 2006","GEOGRAPHIC ACCESS TO SERVICES
DOMAIN
RANK 2006","CRIME
DOMAIN
RANK 2006",TOTAL POPULATION (SAPE 2004),"WORKING AGE POPULATION (MEN 16-64, WOMEN 16-59)
(SAPE 2004)","NUMBER OF INCOME DEPRIVED PEOPLE
(SIMD 2006)","PERCENTAGE OF INCOME DEPRIVED PEOPLE
(SIMD 2006)","NUMBER OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2006)","PERCENTAGE OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2006)","OVERALL 
SIMD
RANK 2004","VIGINTILE
(SIMD 2004)","DATAZONE IN THE 15% MOST DEPRIVED?
(SIMD 2004)","CURRENT INCOME 
DOMAIN 
RANK 2004","EMPLOYMENT 
DOMAIN
RANK 2004","HEALTH
DOMAIN
RANK 2004","EDUCATION, SKILLS AND TRAINING
DOMAIN
RANK 2004","HOUSING
DOMAIN
RANK 2004","GEOGRAPHIC ACCESS AND TELECOMMUNICATIONS
DOMAIN
RANK 2004",TOTAL POPULATION (CENSUS 2001),"WORKING AGE POPULATION (MEN 16-64, WOMEN 16-59)
(CENSUS 2001)","NUMBER OF INCOME DEPRIVED PEOPLE
(SIMD 2004)","PERCENTAGE OF INCOME DEPRIVED PEOPLE
(SIMD 2004)","NUMBER OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2004)","PERCENTAGE OF EMPLOYMENT DEPRIVED PEOPLE
(SIMD 2004)"
S01002560,S02000479,Falkirk - Dunipace,1503,Falkirk - Denny and Banknock,34,Falkirk West,240,Falkirk,S03000010,Falkirk Community Health Partnership,S08000005,Forth Valley,2,Other Urban Areas,3409,11,No,3302,3842,3244,2312,3639,2422,3669,615,358,75,13.0,30,8.0,3164,10,No,2874,3374.5,3310,2611,3639,2370,3106,606,363,78,12.9,38,10.5,2771,9,No,2294,2331,4139,2634,3639,3278,570,330,94,16.5,51,15.5
S01002561,S02000477,Falkirk - North Broomage and Inches,1505,Falkirk - Bonnybridge and Larbert,34,Falkirk West,240,Falkirk,S03000010,Falkirk Community Health Partnership,S08000005,Forth Valley,2,Other Urban Areas,2523,8,No,2211,2610,2464,3009,3229.5,1943,3087,659,414,120,18.0,50,12.0,2207,7,No,2401,2229.5,1916,2439,3229.5,1443,4010,690,439,104,15.1,66,15.0,2278,8,No,2108.5,2419,2816,2061,3229.5,1835,685,432,120,17.5,65,15
S01002562,S02000478,Falkirk - Antonshill,1504,"Falkirk - Carse, Kinnaird and Tryst",34,Falkirk West,240,Falkirk,S03000010,Falkirk Community Health Partnership,S08000005,Forth Valley,2,Other Urban Areas,3976,13,No,4323,3495,3241,3734,5366,1839,5041,626,387,50,8.0,35,9.0,3607,12,No,3633,3261.5,3715,3055,5366,1916,4825,624,387,61,9.8,42,10.9,3530,11,No,4127,2989,4226,2483,5366,1639,654,404,53,8.1,51,12.6
S01002563,S02000477,Falkirk - North Broomage and Inches,1505,Falkirk - Bonnybridge and Larbert,34,Falkirk West,240,Falkirk,S03000010,Falkirk Community Health Partnership,S08000005,Forth Valley,2,Other Urban Areas,3492,11,No,4526,3237,3578,2676,5997,1118,3611,884,569,70,8.0,55,10.0,4039,13,No,4810.5,3807,4586,2768,5997,1293,4042,1116,745,63,5.6,68,9.1,3970,13,No,5268,2938,5250,3435,5997,951,1163,766,49,4.2,98,12.8
S01002564,S02000478,Falkirk - Antonshill,1504,"Falkirk - Carse, Kinnaird and Tryst",34,Falkirk West,240,Falkirk,S03000010,Falkirk Community Health Partnership,S08000005,Forth Valley,2,Other Urban Areas,5687,18,No,6258,5593,5270,4935,6151,1837,4167,601,355,15,2.0,15,4.0,5953,19,No,6057,5459,5795,5064,6151,2134,6248,593,370,14,2.4,18,4.9,5038,16,No,6388,4468,4698,4162,6151,1241,620,402,6,1,31,7.7
S01002565,S02000478,Falkirk - Antonshill,1504,"Falkirk - Carse, Kinnaird and Tryst",33,Falkirk East,240,Falkirk,S03000010,Falkirk Community Health Partnership,S08000005,Forth Valley,2,Other Urban Areas,4688,15,No,4710,4397,4229,4990,5350,1388,5728,865,633,65,7.0,40,7.0,5369,17,No,5767,5137.5,4699,5050,5350,1503,6414,896,642,27,3.0,36,5.6,5140,16,No,6029.5,5155,4304,3969,5350,1532,911,639,19,2.1,38,5.9
S01002566,S02000478,Falkirk - Antonshill,1504,"Falkirk - Carse, Kinnaird and Tryst",33,Falkirk East,240,Falkirk,S03000010,Falkirk Community Health Partnership,S08000005,Forth Valley,2,Other Urban Areas,6045,19,No,6356,6179,5621,5844,6098,1453,6176,732,510,15,2.0,15,3.0,5909,19,No,6488,5623,6024,5747,6098,1198,5347,736,508,5,0.7,23,4.5,5827,18,No,6188,5459,5960,5515,6098,1387,779,522,13,1.7,27,5.2
S01002567,S02000477,Falkirk - North Broomage and Inches,1505,Falkirk - Bonnybridge and Larbert,34,Falkirk West,240,Falkirk,S03000010,Falkirk Community Health Partnership,S08000005,Forth Valley,2,Other Urban Areas,5743,18,No,5979,5437,5349,6081,6495,1432,6154,1629,1037,50,3.0,45,4.0,5408,17,No,5695,5340.5,4986,6045,6495,988,6167,1313,870,42,3.2,45,5.2,4724,15,No,5908,2884,5718,5630,6495,1531,571,383,14,2.5,50,13.1
S01002568,S02000479,Falkirk - Dunipace,1503,Falkirk - Denny and Banknock,34,Falkirk West,240,Falkirk,S03000010,Falkirk Community Health Partnership,S08000005,Forth Valley,2,Other Urban Areas,4002,13,No,4036,3230,4277,3496,3684,2707,4152,747,507,70,10.0,50,10.0,3679,12,No,3369,3404,3796,3785,3684,1899,5129,749,521,81,10.8,54,10.4,3772,12,No,3503,2752,3997,4681,3684,3352,732,515,78,10.7,70,13.6
S01002569,S02000480,Falkirk - Carse and Grangemouth Old Town,1504,"Falkirk - Carse, Kinnaird and Tryst",33,Falkirk East,240,Falkirk,S03000010,Falkirk Community Health Partnership,S08000005,Forth Valley,5,Accessible Rural,3114,10,No,4217,3547,2894,2513,2150,696,3337,1356,888,120,9.0,80,9.0,2777,9,No,3257,2853,3133,2665,2150,920,3246,1224,785,139,11.4,97,12.4,2323,8,No,2658,2598,3076,2525,2150,617,977,610,141,14.4,87,14.3
S01002570,S02000480,Falkirk - Carse and Grangemouth Old Town,1504,"Falkirk - Carse, Kinnaird and Tryst",33,Falkirk East,240,Falkirk,S03000010,Falkirk Community Health Partnership,S08000005,Forth Valley,5,Accessible Rural,3959,13,No,4143,3548,2926,3271,4338,3276,4051,609,371,55,9.0,35,9.0,3415,11,No,4217,4192,2968,1792,4338,1122,4844,607,387,46,7.6,31,8.0,4332,14,No,4363,3965,4909,2134,4338,4453,619,403,45,7.3,37,9.2
S01002571,S02000480,Falkirk - Carse and Grangemouth Old Town,1504,"Falkirk - Carse, Kinnaird and Tryst",33,Falkirk East,240,Falkirk,S03000010,Falkirk Community Health Partnership,S08000005,Forth Valley,5,Accessible Rural,2735,9,No,2872,2672,2438,1532,3231,4671,3134,627,380,90,15.0,45,12.0,2129,7,No,2404,3321.5,1824,992,3231,1278,3760,631,376,95,15.1,40,10.6,1884,6,No,2151,2121,2158,573,3231,4796,654,375,113,17.3,62,16.5
S01002572,S02000481,Fife - North Queensferry and Inverkeithing West,1605,Fife - Rosyth,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,5334,17,No,5406,5739,6090,5728,5342,925,3719,586,354,30,5.0,10,4.0,5301,17,No,5632,5778,5970,5750,5342,728,3849,595,382,20,3.4,16,4.2,5519,17,No,5462.5,5399,3780,5903,5342,2586,579,375,21,3.6,20,5.3
S01002573,S02000481,Fife - North Queensferry and Inverkeithing West,1605,Fife - Rosyth,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,4250,14,No,4164,4493,5160,3307,5041,936,6194,549,345,50,9.0,20,6.0,3962,13,No,4161,4111,4842,3516,5041,761,4922,539,341,42,7.8,28,8.2,4989,16,No,4600,5354,4355,4579,5041,1961,523,331,34,6.5,18,5.4
S01002574,S02000481,Fife - North Queensferry and Inverkeithing West,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,2770,9,No,2848,3033,2999,1371,1177,5217,1770,813,556,120,15.0,60,11.0,2814,9,No,3343,2477,2825,1631,1177,5038,2485,776,535,85,11.0,74,13.8,2720,9,No,3277,2912,2621,1535,1177,3744,781,526,90,11.5,68,12.9
S01002575,S02000482,Fife - Rosyth South,1605,Fife - Rosyth,23,Dunfermline West,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,2922,9,No,3271,3608,2659,2025,5365,1360,2318,1033,710,135,13.0,60,9.0,2693,9,No,2725,3495,2811,2686,5365,856,1761,951,627,129,13.6,63,10.0,3193,10,No,3270,4071.5,2811,2224,5365,1139,846,546,98,11.6,48,8.8
S01002576,S02000484,Fife - Dalgety Bay Central,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,5943,19,No,5483,5826,6225,5999,5272,1965,5909,741,458,35,5.0,15,4.0,5885,19,No,6032,5854,6427,5995,5272,1176,4915,749,477,18,2.4,19,4.0,5458,17,No,5749,5431.5,5796,6045,5272,932,741,495,21,2.8,26,5.3
S01002577,S02000483,Fife - Inverkeithing East,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,1017,4,No,1099,1306,1323,320,2599.5,3932,1612,899,559,240,26.0,100,18.0,879,3,Yes,854,830,1610,542,2599.5,3637,1154,937,553,253,27.0,134,24.2,823,3,Yes,689,1102,1708,572,2599.5,1495,965,569,302,31.3,132,23.2
S01002578,S02000484,Fife - Dalgety Bay Central,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,6437,20,No,6486,6312,6426,5889,6408,2928,6330,773,474,5,1.0,10,2.0,6129,19,No,5763.5,6026,6471,5974,6408,1782,6335,793,518,24,3.0,18,3.5,6258,20,No,6459,6304,6135,6294,6408,1396,779,547,,,14,2.6
S01002579,S02000484,Fife - Dalgety Bay Central,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,5634,18,No,5301,5927,5490,5504,6097,1643,5123,866,559,45,5.0,20,3.0,5342,17,No,4551,6045,5187,6059,6097,1150,6101,862,585,56,6.5,20,3.4,5068,16,No,4297.5,5930,5468,4192,6097,1493,809,559,61,7.5,22,3.9
S01002580,S02000483,Fife - Inverkeithing East,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,1481,5,No,1597,1706,2691,672,3473,2350,1112,703,434,150,22.0,70,16.0,1273,4,No,1153,1451,2308,754,3473,2491,1230,785,484,186,23.7,93,19.2,1412,5,No,1638,1714.5,1674,1076,3473,826,799,489,166,20.8,92,18.8
S01002581,S02000485,Fife - Dalgety Bay West and Hillend,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,6152,19,No,6053,6357,6470,5869,6485,1495,6472,894,570,25,3.0,10,2.0,6141,19,No,6495,6391,6470,6091,6485,977,6363,872,553,5,0.6,12,2.2,6332,20,No,6477,6454.5,6414,4893,6485,2196,783,495,,,8,1.6
S01002582,S02000481,Fife - North Queensferry and Inverkeithing West,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,2944,10,No,2537,2597,3814,1796,2631,5743,3572,722,430,115,16.0,55,12.0,2839,9,No,2575,2633,3576,1883,2631,5400,1909,718,392,102,14.2,52,13.3,2954,10,No,2818,2887.5,3051,1774,2631,5179,720,407,98,13.6,53,13
S01002583,S02000482,Fife - Rosyth South,1605,Fife - Rosyth,23,Dunfermline West,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,3023,10,No,2766,3938,3176,2219,4611,1619,2438,981,613,150,15.0,45,8.0,3321,11,No,3191,4396,3633,2358,4611,1164,2963,991,618,115,11.6,46,7.4,3209,10,No,2059,4147,4441,2275,4611,2637,790,478,141,17.8,41,8.6
S01002584,S02000482,Fife - Rosyth South,1605,Fife - Rosyth,23,Dunfermline West,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,3619,12,No,3994,3831,2910,2576,4321,2155,3437,1421,1021,135,10.0,80,8.0,2952,10,No,3539,3338.5,3163,2697,4321,852,1777,866,624,88,10.2,66,10.6,3328,11,No,2748,4062,3771,2813,4321,1452,780,521,109,14,46,8.8
S01002585,S02000483,Fife - Inverkeithing East,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,4782,15,No,4054,4264,3963,4666,4654.5,5147,3503,868,559,85,9.0,40,7.0,4471,14,No,3720,4326,4000,4159,4654.5,4558,2476,890,589,83,9.3,45,7.6,4278,14,No,4273,3719,3924,3960,4654.5,2688,877,579,67,7.6,58,10
S01002586,S02000485,Fife - Dalgety Bay West and Hillend,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,3364,11,No,3206,2580,4320,3740,4363,2081,4443,569,353,75,13.0,40,12.0,3735,12,No,3538,2964,4883,2933,4363,2718,5699,551,353,56,10.2,42,11.9,3223,10,No,3985,2764.5,4316,2640,4363,1021,556,369,48,8.6,50,13.6
S01002587,S02000484,Fife - Dalgety Bay Central,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,5735,18,No,5673,5061,5171,4619,6111,3801,5330,666,452,30,4.0,20,5.0,5565,18,No,5410,4984.5,5456,4450,6111,3303,4872,682,489,27,4.0,29,5.9,5139,16,No,5233,5386,4671,4206,6111,1570,718,522,31,4.3,28,5.4
S01002588,S02000484,Fife - Dalgety Bay Central,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,6329,20,No,5871,5633,6183,5360,5931,5116,5791,761,491,25,3.0,20,4.0,6243,20,No,5568,5892,5852,5499,5931,3910,5745,765,490,27,3.5,19,3.9,5557,18,No,5403,5582,4889,5365,5931,1843,787,513,30,3.8,25,4.9
S01002589,S02000491,"Fife - Crossford, Charleston and Limekilns",1601,Fife - West Fife and Coastal Villages,23,Dunfermline West,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,5,Accessible Rural,6138,19,No,5892,6032,5940,6088,6132,2085,6226,803,445,25,3.0,10,3.0,6087,19,No,5385,5808,5712,5907,6132,2812,6492.5,794,464,32,4.0,19,4.1,6030,19,No,5450,5555,4362,6106,6132,3994,789,466,29,3.7,23,4.9
S01002590,S02000484,Fife - Dalgety Bay Central,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,6483,20,No,6056,6282,6276,6365,6402,5086,4662,723,404,20,3.0,10,2.0,6432,20,No,6126,6372,6144,5868,6402,4127,3931,733,429,16,2.2,10,2.3,6290,20,No,6119,6207,5640,5996,6402,2419,757,464,14,1.8,14,3
S01002591,S02000486,Fife - Rosyth Central,1605,Fife - Rosyth,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,2128,7,No,3045,1474,1560,1511,4195,4680,3858,584,349,80,14.0,60,18.0,2030,7,No,2581,1697,1874,1005,4195,4385,4106,550,347,78,14.2,62,17.9,2572,8,No,3600,2217,1979,1300,4195,3867,576,361,59,10.2,58,16.1
S01002592,S02000486,Fife - Rosyth Central,1605,Fife - Rosyth,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,2125,7,No,2186,1521,2962,2931,4094.5,2998,1232,825,498,145,18.0,90,17.0,2916,9,No,3116.5,2601,2931,2777,4094.5,2881,1633,902,568,107,11.9,76,13.4,3371,11,No,3730,2993,2685,2340,4094.5,3810,931,579,90,9.7,73,12.6
S01002593,S02000486,Fife - Rosyth Central,1605,Fife - Rosyth,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,2106,7,No,2058,2128,2602,1272,2864,4337,2102,750,465,140,19.0,65,14.0,2772,9,No,3055,2627,3628,1550,2864,3806,1539,729,459,88,12.1,61,13.3,2664,9,No,3026,2730,3580,893,2864,4125,777,489,98,12.6,67,13.7
S01002594,S02000485,Fife - Dalgety Bay West and Hillend,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,5835,18,No,5590,5981,6139,5375,6396,2035,3852,674,452,30,4.0,15,3.0,5966,19,No,6010,6191,6420,4885,6396,1499,5115,651,446,16,2.5,13,2.9,6056,19,No,6156.5,6321,6084,3552,6396,2542,680,484,12,1.8,12,2.5
S01002595,S02000482,Fife - Rosyth South,1605,Fife - Rosyth,23,Dunfermline West,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,3109,10,No,3560,3097,3059,2232,3575,1486,4895,634,388,75,11.0,40,10.0,2841,9,No,4082,2605,3006,1721,3575,1654,2412,669,419,54,8.1,56,13.4,3559,11,No,4167,3448.5,3232,1775,3575,3397,677,440,54,8,48,10.9
S01002596,S02000487,Fife - Dalgety Bay East,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,6184,20,No,5663,5312,6142,5769,6255,4861,4442,710,396,30,4.0,15,5.0,6224,20,No,5890,5523.5,5995,5532,6255,4498,3850,730,443,20,2.7,21,4.7,5532,18,No,5602,4918.5,5778,5428,6255,1741,752,474,24,3.2,31,6.5
S01002597,S02000486,Fife - Rosyth Central,1605,Fife - Rosyth,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,3524,11,No,3168,3253,4084,1979,3855,4679,4559,525,337,70,13.0,35,10.0,2968,10,No,3250,2260,3037,2234,3855,4239,3242,562,336,64,11.4,50,14.9,2932,10,No,3168,3187,2373,1140,3855,5660,517,304,62,12,36,11.8
S01002598,S02000481,Fife - North Queensferry and Inverkeithing West,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,3837,12,No,3864,3488,3959,3087,5063,4544,1064,896,595,95,10.0,55,9.0,4317,14,No,4198,3955,4402,3140,5063,4193,2115,903,602,69,7.6,52,8.6,4360,14,No,4352,4077,4234,3665,5063,2206,916,604,67,7.3,53,8.8
S01002599,S02000488,Fife - Rosyth East,1605,Fife - Rosyth,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,2912,9,No,2494,2738,2982,2685,3834.5,4210,2375,533,353,90,16.0,40,12.0,3021,10,No,2737,2935.5,3700,1826,3834.5,4242,2659,541,341,73,13.5,41,12.0,3762,12,No,4009,3692,2933,2056,3834.5,4666,551,337,47,8.5,34,10.1
S01002600,S02000485,Fife - Dalgety Bay West and Hillend,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,6111,19,No,5985,5877,5595,4714,5733,3580,5657,1031,689,30,3.0,25,3.0,6346,20,No,6377,6100,6017,5221,5733,3498,4523,1008,675,14,1.4,22,3.3,6213,20,No,6284,6158,5743,5361,5733,2246,882,594,12,1.4,19,3.2
S01002601,S02000488,Fife - Rosyth East,1605,Fife - Rosyth,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,2434,8,No,2361,2699,2944,1332,2867,4684,1163,651,383,110,17.0,45,12.0,2894,9,No,2892,3000,3350,2241,2867,4136,740,642,399,82,12.8,47,11.8,3349,11,No,3358,3028,2421,2919,2867,4894,668,402,75,11.2,50,12.4
S01002602,S02000487,Fife - Dalgety Bay East,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,4919,16,No,4498,4438,4195,3308,4469,5533,5310,526,321,40,8.0,20,7.0,4791,15,No,4621.5,4086,4313,3090,4469,5103,5878,543,338,34,6.3,28,8.3,4240,14,No,4977,4115,3669,3207,4469,1720,528,334,27,5.1,29,8.7
S01002603,S02000486,Fife - Rosyth Central,1605,Fife - Rosyth,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,1627,6,No,1255,1217,2216,1947,4124,4752,3100,690,415,170,25.0,80,19.0,1955,7,No,2092,1633,2024,1913,4124,4133,1516,708,450,119,16.8,82,18.2,2097,7,No,2159,1369,2067,2282,4124,6038,744,472,128,17.2,100,21.2
S01002604,S02000487,Fife - Dalgety Bay East,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,5591,18,No,5839,5096,5774,5498,6275,1659,5135,960,559,35,4.0,30,5.0,5524,17,No,6036,5296.5,5668,5241,6275,1397,4103,958,570,23,2.4,30,5.3,5312,17,No,5670,5955.5,5473,5357,6275,629,993,622,30,3,24,3.9
S01002605,S02000488,Fife - Rosyth East,1605,Fife - Rosyth,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,3973,13,No,4564,3246,4504,2162,3342,4763,2200,622,367,50,8.0,35,10.0,3726,12,No,4450,3532.5,3719,2028,3342,4231,1711,630,372,43,6.8,37,9.9,3330,11,No,3556,2908.5,2453,2369,3342,5513,632,371,66,10.4,48,12.9
S01002606,S02000488,Fife - Rosyth East,1605,Fife - Rosyth,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,2839,9,No,2741,3269,3160,1484,3969,2460,3695,549,348,80,15.0,35,10.0,2648,9,No,2359,2484,3074,2187,3969,2574,4550,578,362,88,15.2,50,13.8,3270,11,No,3412,3356,3012,2252,3969,2407,601,411,66,11,46,11.2
S01002607,S02000489,Fife - Rosyth North,1605,Fife - Rosyth,23,Dunfermline West,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,3069,10,No,3631,2968,2975,1672,2165,3203,3418,804,481,85,11.0,55,11.0,3158,10,No,3579,3801,3565,1291,2165,2589,2688,831,525,83,10.0,48,9.1,3462,11,No,3878,3653,3288,1334,2165,5508,872,558,79,9.1,57,10.2
S01002608,S02000487,Fife - Dalgety Bay East,1606,Fife - Inverkeithing and Dalgety Bay,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,4288,14,No,3932,4584,4077,4056,4378,2067,2640,566,374,55,10.0,25,6.0,4833,15,No,4702,4658,5140,4325,4378,1951,4250,583,399,35,6.0,27,6.8,4789,15,No,4966,5470,4871,4327,4378,917,600,408,31,5.2,21,5.1
S01002609,S02000489,Fife - Rosyth North,1605,Fife - Rosyth,23,Dunfermline West,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,3072,10,No,2955,2626,3116,2670,3881,4642,2134,745,433,105,14.0,55,12.0,2813,9,No,3468,2325,3190,2147,3881,4134,823,740,426,77,10.4,62,14.6,3405,11,No,3965,2742.5,2228,2423,3881,5968,791,440,69,8.7,60,13.6
S01002610,S02000488,Fife - Rosyth East,1605,Fife - Rosyth,22,Dunfermline East,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,3727,12,No,3833,3165,3825,2584,4754,3378,3766,906,597,95,10.0,60,10.0,3481,11,No,4043,2832,3444,2532,4754,3103,3150,935,595,77,8.2,74,12.4,3893,12,No,3553,3479,3490,2839,4754,4883,928,583,97,10.5,63,10.8
S01002611,S02000489,Fife - Rosyth North,1605,Fife - Rosyth,23,Dunfermline West,250,Fife,S03000006,Dunfermline & West Fife Community Health Partnership,S08000004,Fife,2,Other Urban Areas,3715,12,No,4306,3066,4475,2814,5199,1420,5173,726,504,60,9.0,50,11.0,4282,14,No,4758,4160,4043,3133,5199,1543,5266,776,544,45,5.8,44,8.1,4598,15,No,5152,4242,4053,3077,5199,2577,854,578,39,4.6,48,8.3
